酒名,酒廠,url,年分,產地,酒精度,照片url,內容,評論,價錢
"Teeling 24 Years Old Vintage Reserve Collection (46%, OB, 5000 Bottles, 2016)", Teeling distillery,https://thewhiskyphiles.com/2020/05/20/teeling-24-years-old-vintage-reserve-collection/, 24 Years Old,Ireland, 46%,https://thewhiskyphiles.files.wordpress.com/2016/11/teeling-24-year-old-vintage-reserve-collection-whiskey.jpg,"The Teeling Whiskey Company is proud to introduce this special release of some of the oldest Irish Single Malt in the world. Matured initially in Bourbon casks before being given an additional maturation in ex-Sauternes wine barrels, imparting a distinctly unique flavour. Limited to 5,000 bottles per batch and bottled at 46% with no chill filtration completing a whiskey of true character. Awarded World’s Best Single Malt, 2019 at the World Whiskies Awards, this is a whiskey to savour.Official tasting notes:Nose: Aromas of white grapes, cut grass, apricots and white chocolate.Taste: Silky smooth, with flavours of fig jam, honey, apricots, white chocolate and crisp saltiness at the end to balance the sweetness off.Finish: Long and mellow.","Distilled at Teeling Distillery and matured in ex-Bourbon casks before finishing in Ex-Sauternes casks. Bottled at 24 years old and 46% in 206, producing a limited run of 5000 bottles this was one of the oldest irish single malt whiskeys at the time it was bottled.My tasting notes:Appearance: Rosy gold (11/20), quick, large tears and thick legs.Nose: Sweet roasted chestnuts, sugared almonds, slightly fruity, botrytis, dunnage warehouse, lemon & lime foam, white grapes, bubblegum, apple puree and orange zest.Taste: White and red grapes, cranberry and strawberry, pineapple fritters in syrup, barley sugars, herbal thyme and a touch of black pepper, candied peels, sun-dried leather and a pinch of salt.Finish: More stewed fruits, woody, herbal thyme honey and orange zest/peel.", £395
"Teeling Brabazon Bottling Series 1 (49.5%, OB, 12500 Bottles, 2017)", Teeling distillery,https://thewhiskyphiles.com/2020/05/20/teeling-brabazon-bottling-series-1/, null,Ireland, 49.5%,https://thewhiskyphiles.files.wordpress.com/2017/05/teeling-brabazon-bottling-series-1-whiskey.jpg,"The first release in Teeling’s Brabazon Bottling range, which will explore the impact that fortified wine casks have on the flavour profile of Irish whiskey. This initial bottling features whiskey drawn from six Sherry casks, resulting in big ol’ bundles Sherried deliciousness.Official tasting notes:Nose: Earthy dried fruit and roasted hazelnut, with marmalade, peach, plum and burnt toffee.Palate: A rich Sherry sweetness, red berries, nuttiness and toffee, with a hint of liquorice and clove.Finish: Lingering mixed spice, trail-mix, crisped marshmallow, dry tannins and spice with toasted wood.","Sampled during the Darkness Instagram Live tasting with Kristianne Sherry and Dr Sam Simmons from Master of Malt on 15th April 2020.My tasting notes:Appearance: Full amber gold (10/20), medium-fine tears, slow, tapered to fine legs.Nose: Hazelnut puree, linseed oil/putty, sticky toffee pudding, peanut brittle, cookie dough, raisin, plum, dates,Taste: Lighter on the palate, more hazelnut puree, spun sugar, then dried fruit, quite drying and oaky, cadbury’s caramel, clove and cinnamon spice,Finish: Medium-long, dry a little spicier, more nutmeg and clove returns", £68.89 from Master of Malt
"Teeling Small Batch (46%, OB, 2019)", Teeling distillery,https://thewhiskyphiles.com/2020/05/20/teeling-small-batch/, null,Ireland, 46%,https://thewhiskyphiles.files.wordpress.com/2020/05/teeling-small-batch-whiskey.jpg,"This Whiskey challenges the convention of what an Irish Whiskey can be, with layers of unique flavour influenced by unconventional cask maturation techniques. Hand-selected casks of grain and malt whiskey are initially fully aged in Ex-Bourbon barrels, then married together in Central American Rum casks for up to 12 months for a unique, dried fruit profile. The corn/grain element of the blend brings a distinct sweetness, acting as a canvas for the rich, roasted caramel / toffee character of the malted barley. The grain and malt whiskeys are aged separetely in ex-bourbon barrels, in a ration of roughly 3:1, grain to malt. Vanilla and oak notes are imparted at this stage. Blending in small batches and finishing in Central American rum casks, allow the grain and malt whiskey to marry and take on a subtle dried fruit character.Official tasting notes:An inviting nose where vanilla and spice dance with bright sweet notes of Rum.The palate has a solid Rum influence that creates a unique smooth, sweet and slightly woody marriage that sparkles on the tongue.Exotic fruit notes push through as well, with a sweet spicy finish complimented by lingering woody undertones.","A blend of Teeling’s grain and malt whiskey’s finished in ex-Rum casks and released as Small Batch, this particular bottling was filled 04/2019 and was provided by Teeling in celebration of St Patrick’s Day 2020.My tasting notes:Appearance: Dark gold (11/20), medium-large tears and medium legs.Nose: Sweet and estery, iced pastries, thick vanilla custard, vanilla danish, polished oak wood, woody apple, light toffee and coffee notes almost like creme caramel dessert and sauce.Taste: Medium bodied, quite a polished palate and very refined, sugary but not too sweet with fudge, caramel and toffee, lemon and lime curd, slightly herbal, cardamom, rose, praline.Finish: Creamy vanilla, light brown sugar and light caramel sauce.", £34.95 from Master of Malt 
"Teeling Single Grain (46%, OB, 2018)", Teeling distillery,https://thewhiskyphiles.com/2020/05/20/teeling-single-grain/, null,Ireland, 46%,https://thewhiskyphiles.files.wordpress.com/2020/05/teeling-single-grain-whiskey.jpg,"A wholly unique style within Irish Whiskey, pushing the boundaries of convention, at the intersect of where old meets new.Teeling Single Grain Irish Whiskey is crafted using an unconventional mash bill consisting of 95% corn and 5% malted barley that has been triple distilled and matured exclusively in French oak Ex-Cabernet Sauvignon red wine casks from California, producing a truly unique Irish Whiskey. This highly unique style is almost entirely corn-based. The 95%+ corn base imparts a distinctly sweet flavour profile. The Process of column distillation provides a light, soft, neutral base to layer flavour through unique barrel choice in the next step. The wholly unique use of red wine barrels from the Napa Valley, California, imparts a red berry influence, with a touch of tannic spice.Proudly bottled at 46% ABVwith no chill filtration, for true character.Official tasting notes:The nose opens with spice and fruit notes that mingle with an underlying sweet, sugary note.The palate has a silky smooth mouthfeel, with a touch of spice and deep berry notes that balance the sweet undertones.The tannic influence of the red wine creates a unique, short, dry finish, encouraging another sip.","Part of Teeling’s Trinity Collection comprised of Single Grain, Single Malt and Single Pot Still styles of Irish Whiskey. This single grain is produced mostly from corn and column distilled before maturing in ex-Californian Cabernet Sauvignon red wine casks.My tasting notes:Appearance: dark straw gold (7/20), quick, medium-fine tears and tapered legs.Nose: Sweet, Polish, spirity grain spirit, floral, cleaning products, pink flowers, hint of spices towards the end, a touch of unmalted barley or ryebread style spice, furniture polish, with time lemon curd.Taste: Medium-light bodied, oily and creamy, soft brown sugar, vanilla, white pepper and dry white oak, buttery fudge or tablet, custard cream biscuits.Finish: Soft vanilla fudge with a spiced bite and some barley sugars.", £42.95 from Master of Malt 
"Irish Single Malt #1 13 Years Old Batch 2 (48.4%, That Boutique-Y Whisky Company, 2200 Bottles,  2017)", Undisclosed,https://thewhiskyphiles.com/2020/01/09/irish-single-malt-1-13-years-old-batch-2/, 13 Years Old,Ireland, 48.4%,https://thewhiskyphiles.files.wordpress.com/2017/10/irish-single-malt-1-that-boutiquey-whisky-company-whiskey.jpg,"Ah, lovely Irish whiskey! Booming now, but it wasn’t so many years ago that the number of distilleries dwindled precariously, all joining forces at one stage simply to survive. It should also be remembered, however, that Irish whiskey has a long and glorious history and was the most popular spirit in the world back in the 19th century including (whisper it…) in Scotland!Official tasting notes:Nose: Fruity and Floral; Banana skins and Melon initially, softening to Banana custard. Jasmine brings the floral element. There are hints of icing sugar and cinnamon spice.Palate: Soft and sweet initially, Cantaloupe melon, brown sugar, then warming woody spices follow.Finish: A nice balance between sweet melon and wood spice that lingers","Door #14 in That Boutique-Y Whisky Company’s 2019 Advent Calendar is this 13 year old single malt from an undisclosed Irish distillery (#1 according to TBWC)This post was sponsored by That Boutique-Y Whisky Company by provision of their 2019 Advent Calendar.My tasting notes:Appearance: Light gold (5/20), quick, large tears and fine legs.Nose: Lemon meringue pie, apples, crisp malted barley, light syrup, apple juice, apple danish pastries, fresh, green, sappy, evergreen/pine and granny smith apples.Taste: Sweet  and dessert-like, sugary notes, apple juice, oak wood, golden syrup, forest honey, with a sharp citrus edge to it with fresh lemon peel, vanilla and figs.Finish: Medium-long, apple juice, sugar and oak.", £59.95 for Batch 3 available from Master of Malt (link opens masterofmalt.com)
"J.J. Corry The Flintlock 16 Years Old (46%, OB, Bourbon casks, 600 bottles, 2018)", undeclared,https://thewhiskyphiles.com/2020/01/06/j-j-corry-the-flintlock/, 16 Years Old,Ireland, 46 %,https://thewhiskyphiles.files.wordpress.com/2020/01/j-j-corry-the-flintlock-whiskey.jpg,J.J. Corry ‘The Flintlock’ won Best Irish Single Malt over 13 years old in the Irish Whiskey Awards 2018. A limited edition of 400 bottles is due for release in November. The Flintlock is a blend of three partially disgorged ex bourbon 16 year old single malt casks each specially chosen for their individual flavor profiles. It is our first small scale true Bonder’s Blend. It will be released in November 2018.The Flintlock is 100% 16 Year Old Single Malt from Ex-Bourbon Casks33.3% No. 11233 16 Year Old Single Malt33.3% from Cask No. 11221 16 Year Old Single Malt33.3% Cask No. 11197 16 Year Old Single MaltOfficial tasting notes:Nose: Sweet and light coconut ice cream with hing of lemon. In time some clover honeyTaste: Sweet start with mid-palate peachiness,"Sampled blind (sample JJ Corry III) as part of the JJ Corry Irish Whiskey Tasting #JJCorryWhiskey hosted by The Chapel Gate Irish Whiskey Company  and Steve @TheWhiskyWireJJ Corry Flintlock – 46% ABV – 16 Year Old Single Malt Irish Whiskey. Limited to just 600 bottles. Matured in first and second fill ex-bourbon barrels.My tasting notes:Appearance: champagne gold (4/20), numerous fine tears and tapered legs.Nose: Vanilla, creamy, sweet, crisp green apple, buttermilkTaste: Light bodied, green apple and lime citrus, lime curd, honey, vanilla, custard slice pastriesFinish: Long, icing sugar & honey sweet with sharp lime citrus", £96.95 available from Master of Malt (opens masterofmalt.com)
"J. J. Corry The Gael (46%, OB, 7500 Bottles, 2017)", undisclosed,https://thewhiskyphiles.com/2020/01/06/j-j-corry-the-gael/, null,Ireland, 46 %,https://thewhiskyphiles.files.wordpress.com/2020/01/jj-corry-the-gael-whiskey.jpg,"Named after a Bicycle J.J. Corry invented, Our first release The Gael took us just about two years to develop. First we sourced excellent quality and very rare mature Irish Whiskey. Then we set about classifying each cask we have into a particular flavour block. Finally we began blending to create a Classic Irish Whiskey, one bursting with juicy fruit flavours. The Gael has not spent any time on our farm, rather it is our first attempt at beginning to express the house style of whiskey we would like to make in the coming years, once our own stock is mature. Our first batch is only 7500 bottles.The Gael is a 60% Malt 40% Grain blend, and is a blend of some of the Oldest Whiskies we have in stock. It is comprised of:5% 26 Year Old Single Malt Ex-Sherry Butt27.5% 11 Year Old Single Malt27.5% 15 Year Old Single Malt40% 7 Year Old Single GrainOfficial tasting notes:Nose: Hints of fresh bergamot & beeswaxTaste: Ripe white stone fruit & lime, with minerality & pink pepper cornsFinish: Medium length, minerals again with dried grapefruit & apple notes","Sampled blind (sample JJ Corry II) as part of the JJ Corry Irish Whiskey Tasting #JJCorryWhiskey hosted by The Chapel Gate Irish Whiskey Company  and Steve @TheWhiskyWireJJ Corry The Gael – 46% ABV – Blended Irish Whiskey. Matured in a combination of sherry and first/second fill bourbon casks containing 11, 15, 25 year old malts and 7 year old grain.My tasting notes:Appearance: champagne gold (4/20), quick large tears and medium legsNose: Stone fruit, nectarine, peach, orange, praline, hazelnut or gianduja, toasted almond and milk chocolateTaste: Yellow plum, nectarine, peach, much smoother, light-medium bodied, some crisp, drying oak and hints of salt and spiced white pepperFinish: Medium, balanced sweet-dry with honey, fruit and wood in equal measures.", £76.95 available from Master of Malt (opens masterofmalt.com)
"J. J. Corry I  2 Years Old Grain Spirit (61.5%, OB, Sample, 2019)", undisclosed distillery,https://thewhiskyphiles.com/2020/01/06/jj-cory-i-2-years-old-grain-spirit/, Almost 3 years old,Ireland, 61.5%,https://thewhiskyphiles.files.wordpress.com/2020/01/img_0285.jpg?w=1200,JJ Corry Almost 3 Year Old Grain – 61.5% ABV – Cask Sample. Matured in an Old Forester bourbon barrel.,"Sampled as part of the JJ Corry Irish Whiskey Tasting #JJCorryWhiskey hosted by The Chapel Gate Irish Whiskey Company  and Steve @TheWhiskyWireMy tasting notes:Appearance: light champagne gold (3/20), large tears and medium legsNose: light, floral, grassy, green, biscuit, lemon citrus, melon, fresh, honey, a little white pepper spice, vanilla,Taste: Fruity, peach, lemon, lime, apple, zesty, lemon puff biscuit, orange sherbet, cinnamon, slightly oily,Finish: Long, zesty, fruity and spicy", null
"Method and Madness Acacia Wood (46%, OB, 2500 Bottles, 2019)", Midleton distillery,https://thewhiskyphiles.com/2019/11/25/method-and-madness-acacia-wood-46-ob-2500-bottles-2019/, null,Ireland, 46%,https://thewhiskyphiles.files.wordpress.com/2019/11/acaciamm-776x1176.png,"“WHEN GREAT MINDS COLLIDE, UNTOLD CREATIVITY POURS OUT”Kevin O’Gorman, Master of MaturationHow would acacia wood casks, famous for ageing French white wines, impact our Irish whiskey? A postulation with a perfect result: a world first for Single Pot Still.This limited-edition release was initially matured in a combination of ex-bourbon and sherry casks, then finished in acacia casks.This calculated risk yields the rewards of the acacia’s tight grain, imparting a rich, nutty, chocolatey flavour, complemented by a mahogany hue.Official tasting notes:Nose: Sugared almond, wood spices and crushed cloves.Taste: Coffee beans, dark chocolate and chilli oil.Finish: Fading spices, charred wood and barley husk.","The second of our pairing of wood finishes to complement the Wild Cherry Wood finish was this Acacia wood limited edition. Imbuing a beautiful colour on the whisky already what did this one deliver…My tasting notes:Appearance: Dark bronze (13/20), fine tears, thin legs.Nose: Spiced tobacco, cherry, date, woody cloves, walnut, dry cocoa powder, coffee, roasted almonds, sugar coated and roasted nuts.Taste: Light bodied, roasted wood and dates, granary toast, nutty, Brazil nut, caramelised nuts from a street or fairground vendor, burnt and caramelized woody sugars.Finish: Long, mouth-coating, candied nuts, polished and spirity.", €92 available from Celtic Whisky Shop.com
"Method and Madness Wild Cherry Wood (46%, OB, 2500 bottles, 2019)", Midleton distillery,https://thewhiskyphiles.com/2019/11/25/method-and-madness-wild-cherry-wood-46-ob-2500-bottles-2019/, null,Ireland, 46%,https://thewhiskyphiles.files.wordpress.com/2019/11/wild_cherrymm-776x1176.png,"METHOD AND MADNESS is a spirit brand hatched from the minds of the Masters and Apprentices of Midleton Distillery. Our foundation of shared knowledge is unique to the Midleton. When great minds collide, incredible creations can emerge. At Midleton, our Master and Apprentice relationship runs deep, with generations of know how meshing with restless curiosity. There will be trial, and error, and brilliant bottled breakthroughs that start with “What if?” Restless hearts making inspired spirits.Innovation is nothing new to Midleton, but the new microdistillery has provided the copper canvas for experimentation to run free. The whiskeys coming out of this distillers’ playground provide a new taste from Irish whiskey history.“WE BOTTLED A WHOLE LOT OF CURIOSITY”Finbarr Curran, Apprentice Bond OperationsCuriosity got the better of us, but the result was better than we could have hoped.A world first, this limited-edition release is a Single Pot Still Irish Whiskey aged in ex-bourbon and sherry casks, finished in wild cherry wood casks.Wood from the cherry tree is characterised by its porousness; adding complex flavours of fine wine, capers and ginger spice.Official tasting notes:Nose: Box Hedge clippings, shredded ginger and coconut fibre.Taste: Fresh green herbs, black tea and pot still spices.Finish: Long and fresh, prickly spice and toasted hazelnut.","So my first Method and Madness whisky from the Midleton Distillery and Irish Distillers. Part of a pair of Irish pot still whiskeys that are matured in a wooden cask – thanks to the looseness of the Irish whiskey regulations this allows the use of wood other than the Scotch whisky demanded oak!My tasting notes:Appearance: 18ct gold (7/20), slow, well-defined, medium-fine tears and thin legs.Nose: Toasted wood, spiced unmalted barley, sharp citrus, possibly woody grapefruit, sweet banana, ginger and vanilla.Taste: Woody, spiced and gingery, a little thin and grain-like spirit character, crisp unmalted barley, spiced black and white pepper, banana split dessert, green and overstewed/tannic black tea.Finish: Medium-short, creamy, thin, sweet but tannic and spicy.", €92 available from Celtic Whisky Shop.com
