酒名,酒廠,url,年分,產地,酒精度,照片url,內容,評論,價錢
"Chita  4 Years Old 2009 G13.1 A Complete revelation (58.3%, SMWS, Virgin Oak Puncheon, 622 bottles, 2014)", Chita distillery,https://thewhiskyphiles.com/2019/11/12/smws-g13-1-a-complete-revelation/, 4 Years Old,Japan, 58.3%,https://thewhiskyphiles.files.wordpress.com/2015/07/smws-g13.1.jpg,"Flavour: Juicy, oak & vanillaThe Panel were awestruck by this dram of intense beauty. Luscious mango and pineapple juices accompany lychees, Bounty Bars and fragrant lemongrass. The oak is remarkably fresh and fruity with toffee, marshmallows and damson jam. Gingerbread spice is complimented by creamy milk chocolate and impossibly rich vanilla custard. With water, cherryade, butterscotch, orange oil and fruitcake are entwined in seemingly endless complexity. Theres pear crumble, fruit cocktails, coconut and gorse bush and a bourbon vanilla milkshake. Candied fennel makes a brief appearance before plum crumble is served up with a toffee bourbon sauce.Colour: Peach sunset Drinking tip: Give it time and you will be rewarded Distilled: October 2009 Outturn: 622 bottles","Released back in 2014 when Japanese whisky was still reasonably priced and affordable for the average person. This was the first bottling from Grain distillery #13 by the Scotch Malt Whisky Society and hails from the Chita grain distillery in Japan. Buried in my to be sampled/inbox for some time. I was looking for a light starter to a tasting session the other week and spotted this young #G or grain bottling and assumed that would suffice.My tasting notes:Appearance: Dark brown gold (12/20), medium-large tears and medium legs.Nose: Fresh, coconut, vanilla, sweet honey, green and floral, roses and rosewood or sandalwood, woody oak, coloured pencil shavings woody and slightly waxy or plastic.Taste: Woody and spicy, cinnamon, nutmeg, ginger, gingerbread, wood shavings, foam banana sweeties (esters), milkybar white chocolate buttons a hint of tobacco leaf, chewy and woody, damson fruit?Finish: Long, oily, coconut, vanilla, a little drying oak.", £92
"Kamiki Blended Malt Whisky (48%, OB, 2018)", Kamiki,https://thewhiskyphiles.com/2019/10/21/kamiki-blended-malt-whisky/, null,Japan, 48%,https://thewhiskyphiles.files.wordpress.com/2019/10/kamiki-whisky.jpg,"Perfectly balanced with heather honey, sweet caramel, Japanese plum, balanced oak, peat and toffee with hints of sandalwood and green tea. Non chill-filtered at 48% alcohol to keep its natural flavors at maximum. Blended at its peak flavor, rather than a predetermined ratio. As a result, each batch is unique and limited with stocks.We wanted to celebrate the timeless alcohol tradition of the region by blending a Japanese style whisky that harmonizes Japanese nature and artisanship.We choose rare Japanese malt whiskies, finest malt whiskies from the rest of the world and fuse this unique blend with the highest quality pure spring water from Japan.Yoshino Sugi, most commonly known in English as the “Japanese Cedar” is indigenous to Japan. For centuries it is being used to make temples. Japanese Cedar is also known for its pleasant fragrance and soft texture that help calm the mind and the body.Yoshino Sugi is considered to be the best wood for making local drink casks because of its scented refreshing flavor and wooden aroma. Our blend is rested for a second time in Yoshino Sugi casks to capture a perfectly smooth taste, a scent of sandalwood on the nose and a zest of green tea in the finish. This second maturation makes our whisky unique.","Kamiki whisky is made in Nara, Japan by blending Japanese and world malt whiskies and then further maturing them in Japanese casks such as Japanese Cedar for this expression.This was part of a Japanese whisky tasting with The Whisky Wire & Dekanta – thanks to Tom at Toms Whisky Reviews for sharing some of his sample with me.My tasting notes:Appearance: Dark copper/ruby (13/20) tapered medium-fine tears and fine legs.Nose: Spicy and woody, cinnamon powder, balsa wood. cedar, brown and woody sugars, wood smoke, toffee, honey, malted barley, clove, baking spices, slightly herbal.Taste: Sharp and spicy, with a molasses sweetness, highland toffee, clove, cinnamon, aniseed, mace, cedar wood and wood smoke, slightly polished wood and quite light on the palate/in body.Finish: Slightly bitter and sharp as well as spicy, woody, popcorn, cinnamon bubblegum, herbal.", £52.20 available from Amazon.com
"Kura the Whisky (40%, OB, 2018)", Helios distillery,https://thewhiskyphiles.com/2019/04/01/kura-the-whisky/, null,Japan, 40%,https://thewhiskyphiles.files.wordpress.com/2019/04/kura-the-whisky.jpg,"Produced by Helios Distillery in Okinawa, Japan.Made in the southernmost region of Japan, the exceptional “Kura The Whisky” is the result of careful aging in American White Oak. The permeance of the unique Okinawa islands is infused with this premium spirit. Crafted in exceptionally small quantities.","A Japanese Pure Malt (or blended malt) bottled by Helios distillery in Japan. I may be falsely attributing this but I think it was Ichiro Akuto who stated that Japanese whisky is “whisky made by Japanese people” which is not equal to “whisky made in Japan”. In fact a good portion is imported whisky blended into its final state in Japan. For a more detailed infographic see Nomunication article here . Helios is famed for its aged Sochu (Awamori) an Okinawan delicacy. Here they have tried their hand and blending malts into a “Kura” profile. They have also released a 12 Year Old and Japanese rum cask finished variant. Perhaps they are making their own and waiting for it to mature (something akin to The Lakes: The One blend concept then?). Or perhaps they are just bandwagon jumping on the highly lucrative, obfuscated and confusing “Japanese Whisky” trend at the moment.This was part of a Japanese whisky tasting with The Whisky Wire & Dekanta – thanks to Tom at Toms Whisky Reviews for sharing some of his sample with me.My tasting notes:Appearance: Yellow gold (4/20) oily, medium tears and long, fine legs.Nose: Citrusy, ponzu, sweetens into lemons & lime with honey, malty, a little cloying but very fresh, some fruity apple, banana, melon and coconut milk.Taste: Zesty lemon & lime, candied peel, honey, demerara sugar, cinnamon, allspice, earthy spiced oak wood, molasses, coconut & palm oils.Finish: Long, lime curd on toasted brown or granary bread & swedish krisprolls", £91.95
"Eigashima 2011 The Kikou-Ki Series (58.4%, Dekanta, Port Ellen Cask #11055, 300 bottles, 2018)", Eigashima Distillery,https://thewhiskyphiles.com/2018/06/20/eigashima-2011-the-kikou-ki-series/,null,Japan, 58.4%,https://thewhiskyphiles.files.wordpress.com/2018/06/eigashime-2011-just-bottle-510x600.jpg,"History In A BottleThe Kikou bottling pays homage to the rich history of Japanese whisky by maturing in a cask from the world renowned Port Ellen distillery in Scotland. This is an acknowledgement of the Scottish education of Masataka Taketsuru, the industry pioneer regarded as the “Father Of Japanese Whisky.” By learning the process of Scotland’s premiere distilleries, Taketsuru was able to bring those concepts back to Japan and launch the first Japanese whisky distillery.The Future Meets The PastEigashima Distillery is one of the rising stars of the Japanese Whisky industry. A family owned distillery, Eigashima has kept production small in order to retain the high production standards and innovative new offerings.The Kikou combines the remarkable liquid from Eigashima with maturation in a Port Ellen cask. This is truly a historic marriage combining the future of Japanese Whisky with an iconic Scottish distillery of the past.Port Ellen distillery stopped production in 1983, ending a legacy that began in 1833. Its iconic whisky is now some of the most sought among collectors.The Kikou is a remarkable, revolutionary marriage of Eigashima and Port Ellen. A combination unlikely to be repeated ever again.Beautiful DesignThe historic nature of this whisky deserved exceptional delivery. This is a remarkable bottle that includes a hand crafted wooden presentation stand. This is a showcase piece that looks as beautiful as the whisky contained within.The label depicts a chrysanthemum, a flower local to Akashi City park which hosts the Eigashima distillery. The design draws upon the Ukiyo-e style of Japanese art which flourished in modern Tokyo, then known as Edo, in the 17th, 18th and 19th centuries. The chrysanthemum, like Eigashima distillery, thrives in the saline rich soil of the Akashi City park, breathing the ocean-rich air of the Kobe Bay and offering complex beauty in return. These magnificent, kaleidoscope blooms can be found throughout the park around this special distillery.","Sampled during the #DekantaWhisky tweet tasting, celebrating the 3rd anniversary of Dekanta, specialist Japanese whisky retailers and hosted by Steve Rush @thewhiskywire.Distilled at Eigashima distillery in Akashi city, a distillery I am familiar with having previously sampled some of their White Oak blended expressions.This has been matured in an ex-Port Ellen cask for ~ 7 years before bottling in 2018 to celebrate Dekanta’s 3rd anniversary.My tasting notes:Appearance: rich golden bronze (12/20), slow rounded, medium tears leave short fine legs.Nose: Musty, funky, ozone, shellfish, sweet scallop meat drizzled in orange oil and farmyard butter, barley essence, husks, a little estery bananas fried in butter, salted butter toffee, peanut brittle, a dash of fresh lime juice and nam pla.Taste: Palate is a little polished and thin initially, burst of peanut brittle, salted peanuts, buttery and a little citrus lime lasts and lasts, creamy in texture, peanut, pistachio, macadamia, this is mostly nuts.Finish: Long, nutty, key lime pie fired over a beach bonfire.", £493.73
"Yamazakura 963 21 Years Old (58%, OB, 2018)", Sasanokawa Shuzo distillery,https://thewhiskyphiles.com/2018/06/20/yamazakura-963-21-years-old-whisky-review/,null,Japan, 58%,https://thewhiskyphiles.files.wordpress.com/2018/06/yamazakura21-1-1-510x600.jpg,"You won’t find this bottle anywhere else online!  For the first time offered outside of Japan, we’re offering a highly limited Yamazakura release. This whisky began it’s journey at the historic Sasanokawa Shuzo distillery in Japan where each of the components in this top tier blended whisky were aged at least 21 years. The whisky is meticulously blended using a combination of single malt and grain whisky. Bottled at 58.00%, you’ll enjoy the mellow fragrance and complex flavor of this great bottle. These are sure to sell out quickly, get one while it lasts!Official tasting notes:Sasanokawa Shuzo Company Limited has started whisky production in 1946. The 8th company head, Tetsuzo Yamaguchi, who made suggestion on whisky production and obtained whisky production license, served as the initial president of Fukushima-KenNan-Syuhan Limited 3 years later. Enthusiastic feelings of the 8th company head Tetsuzo Yamaguchi and both companies are packed in the whisky manufactured by the Sasanokawa Shuzo with traditional technique upon planning by taking advantage of Fukushima-KenNan-Syuhan Limited’s network. This whisky, carefully blending the malt whisky which is strictly selected from various malt whiskies with the grain whisky which is aged for a long time, is aged slowly and thoroughly in wooden casks. Please enjoy the condensed mellow fragrance and the complex flavour.","Sampled during the #DekantaWhisky tweet tasting, celebrating the 3rd anniversary of Dekanta, specialist Japanese whisky retailers and hosted by Steve Rush @thewhiskywire.This Yamazakura 963 blend has been distilled at Sasanokawa Shuzo distillery, both malt and grain components so represents a ‘single blend’ similar to that produced at Loch Lomond distillery in Scotland. Offered in a variety of expressions including ‘red label’,’fine’, 8 year old, Mizunara Wood Finish and 17 year old, this 21 must represent somewhere near if not the pinnacle of maturation for this blend.Matured for a minimum of 21 years in what I assume must be a good proportion of ex-sherry casks based on the colour and flavour profile.My tasting notes:Appearance: Dark bronze (13/20), quick, medium tears leave long, fine legs.Nose: Waxed oak wood, cumin spice and pink peppercorns, something fruity, kumquat & raspberry, quite fresh and floral, rosewater & toasted flaked almonds, wood and leather tannins suggest cocoa powder and a dusting of cinnamon & nutmegTaste: Fresh berry fruits; raspberry and strawberry, hints of cherry lips and strawberry laces, quite sweet and jammy, polished wood, chocolate and toffee, chocolate covered hazelnuts or almonds and raisins dusted with freshly grated nutmeg and cinnamon sticksFinish: Long, gentle tannins leather and tea and woody spices", £334.22
"Nikka Pure Malt Black (43%, OB, 2016)", Nikka’s distilleries likely Yoichi and Miyagikyo,https://thewhiskyphiles.com/2017/01/22/nikka-pure-malt-black/,null,Japan, 43%,https://thewhiskyphiles.files.wordpress.com/2017/01/nikka-pure-malt-black-whisky.jpg,":The “Black” is a Pure Malt (Blended Malt) whisky which is characterized by powerful peat, rich taste and firm flavor. The unique bottle that has a laboratory feel to it was designed by the same designer who created From the Barrel.",":Thanks again to Richard at Adventures in Whiskyland for the sample, it is nice to have a resident Japanese Whisky expert! This whisky has received 92 and 95 points (differing batches) from Jim Murray in his whisky bible and is held in rather high esteem. Much debate around this whisky centres on the belief that the peated component is made at Nikka’s Ben Nevis distillery, however Yoichi is also renowned for being Peaty and salty/coastal after Masatake Taketsuru setup his ideal distillery to mirror the types of whisky he learned to make at Longmorn in Speyside and Hazelburn in Campbeltown. Again we may never really know the constituents of this all malt blend.Colour:Full caramel gold (10/20) medium tears with finer legsNose:Slightly musty/fusty and old, mild peat smoke, mossy in places and also ashen/embers, wood smoke, rich dark malt, sweet crème brulee topping/caramelised demerara sugar, vanilla icing/frostingTaste:Toffee and charred wood strike first, again a slightly savoury/umami flavour, rounded and richer then the last sample (Nikka From The Barrel) highlighting the lack of grain whisky, medium-char oak wood, dark chocolate becomes coffee/coffee grounds, with a distinct bitternessFinish:Medium, bittersweet oak and mocha/latte", £39.95
"Nikka Whisky From The Barrel (51.4%, OB, 2016)", Nikka’s distilleries likely Yoichi and Miyagikyo,https://thewhiskyphiles.com/2017/01/22/nikka-whisky-from-the-barrel/,null,Japan, 51.4%,https://thewhiskyphiles.files.wordpress.com/2017/01/nikka-from-the-barrel-whisky.jpg,":This is a blend of multiple types of malt and grain that Nikka reserves. Nikka From the Barrel was created to deliver full flavors and richness of whisky “from barrels” which only blenders can sniff and taste. As the whisky contains so many characteristic components at a higher alcohol of 51.4%, it is essential to let the liquid “marriage” in used casks for 3-6 months for it to stabilize and harmonize. The concept of the unique short squared bottle is “a small lump of whisky”, which perfectly visualizes the rich and strong taste of the whisky inside.Nose:Medium-body with good balance. There are notes of cut flowers and fresh fruits, spice and a little oak.Palate:Full-bodied and punchy. There is plenty of winter spice and toffee, a little caramel and vanilla and a good mouthful of fruit.Finish:Long, warming and fruity with a little oaken spice.",":Thanks to Richard at Adventures in Whiskyland for the sample of this frankly delicious ‘cask strength’ blend from Nikka’s stable. Well known as one of the best-value Japanese whiskies easily available and affordable in the UK. This blend of malt and grain is probably made up of mostly whisky produced at Yoichi and Miyagikyo distilleries, including grain/Coffey still whisky produced at the latter. It is generally assumed that the two major whisky producers in Japan (Nikka and Suntory) have no established trading relationship, unlike Scotch distillery owners who have long had a tradition of supplying stock for various blending houses and trading in stock between each other directly. Nikka also produce Coffey still whisky at their Tochigi plant where their blended stock undergoes barrel-maturation (or re-storage) so some of this may find its way in too. As there is no declaration/or legal requirement to declare either, this blend may well include Scotch whisky in it too – e.g. malt from Nikka’s Ben Nevis distillery? Like most blends it is a great unknown exactly what the constituents are and when it is this good it is not worth losing sleep over either, just sit back, relax and drink!Colour:Full caramel gold (10/20), fine tears and fine legsNose:Caramel and honey sweetness, malty, cereal barley, soft brown/Muscovado sugar, fudge, toffee, dusty ‘powdered bisuit’ cereals and a hint of smoke/wet wood smoke, this has a rice cracker/umami savouriness too.Taste:Starts with a rich caramel sauce and fudge which deepens to toffee, cereal, gristy, barley, wheat and oats, flapjacks with honey, highly polished oak wood, vanilla pods, walnuts and beeswaxFinish:Medium-short on the finish (I would have liked longer), slightly saccharine quality to the sweetness but still constructed with woody sugars", £32.40
"Miyagikyo 10 Years Old (45%, OB, 2017)", Miyagikyo Distillery,https://thewhiskyphiles.com/2017/01/11/miyagikyo-10-years-old/,null,Japan, 45%,https://thewhiskyphiles.files.wordpress.com/2017/01/miyagikyo-10-years-old.jpg,":This is a single malt from the Miyagikyo distillery, Nikka’s second distillery built in 1969. The founder Masataka Taketsuru chose this site in the mountains of Sendai to contrast with his first distillery, Yoichi, located in the coastal area. Using less peaty malt and distilled in a pot still heated by indirect steam, Miyagikyo single malt has an elegant fruitiness and a distinctive aroma with a strong Sherry cask influence.",":The sadly discontinued (or no longer available outside of Japan at least) age-statements of Miyagikyo included this entry-level 10 Years Old. This has been replaced in the UK with their no age declaration (or NAS) Miyagikyo Single Malt Whisky expression. However older stock such as this 10yo may be found on dusty shelves or at auction sites. I decided to stockpile Yoichi instead when these were discontinued y Nikka, however a good friend opted for at least one bottle of this Miyagikyo.Colour:Bright amber gold with rosy highlights (8/20) medium-sized tears and legsNose:Sweet, dusty/floury cereal barley malt, fruity cherry, apple, red grape, floral rose and apple blossom, almond, marzipan, perfumed with hints of solventy plastic and biro inkTaste:Smooth and light bodied, slightly zesty red berries and cream, cherry, plum, allspice, woody sandalwood & oak, some malt and hints or at least suggestions of smoke at the end?Finish:Medium length, light and floral/fragrant with a touch of malty barley and gentle spices", £72.95
"Fujikai 10 Years Old (43%, Les Whiskies Du Monde, 2015)", Monde Shuzo Distillery,https://thewhiskyphiles.com/2017/01/11/fujikai-10-years-old/,null,Japan, 43%,https://thewhiskyphiles.files.wordpress.com/2017/01/fujikai-10-year-old-whisky.jpg,":A 10 year old Japanese whisky from Monde Shuzo, released in partnership with Whiskies du Monde. Fujikai takes its name from the fact that Monde Shuzo, a winery that also produces the Isawa whiskies, is located at the base of Mount Fuji in what was the Kai Province (Kai-no-kuni). Limited to 8,808 bottles and matured in bourbon casks, it’s unclear exactly when this whisky was distilled.Tasting Note by The Chaps at Master of MaltNose:Vegetal and musky, thyme, iodine, acetone, a hint of vanilla and shochu.Palate:Peat, geranium leaf, dried herbs, green apple and walnut.Finish:Drying with some dark spices.Overall:Unique and a little sharp in places, but bound to sell out fairly quickly.",":A new whisky from Japan, a single malt too, suddenly appeared at 10 years old on the market just after Japanese whisky was sweeping the awards as the best whisky in the world…No wonder people went out in droves to snap this bottle up, it has become legendary since as proof that not all whisky from Japan is great. In fact not all whisky from Japan is actually from Japan! Whisky bought in bulk from anywhere else in the world and then released from duty/bond in Japan becomes Japanese whisky. My guess is that this Fujikai may not even be originally from Japan. Regardless it was matured in ex-Bourbon barrels apparently at Monde Shuzo and imported/bottled by French company Les Whiskies Du Monde.Colour:Umbrous gold (12/20) large oily tears leave finer legsNose:Plastic pencil case, cheap shoe shops, plastic, shoe polish, patent leather, funky green and mossy, herbal and vegetal, menthol & eucalyptus, quite synthetic – I guessed at first this was Canadian corn whisky matured in Japan so maybe the ‘single malt’ on the bottle was a mistake?Taste:Green vegetables, seaweed, cucumber, shoe polish, wintergreen, fermented, hints of bourbon/rye whiskey character, harshly aged in a very old & woody cask, herbal.Finish:Medium-long, sweet, menthol crystals and eucalyptus oil, molten plastic", £49.95
"Miyagikyo 13 Years Old 1999 124.3 All the Complexities of Summer (61.9%, SMWS, Refill Butt, 509 Bottles, 2012)", Miyagikyo Distillery,https://thewhiskyphiles.com/2016/03/17/smws-124-3-all-the-complexities-of-summer/,null,Japan, 61.9%,https://thewhiskyphiles.files.wordpress.com/2016/03/p1100259.jpg?w=900,":The slightly bourbonesque nose was full and summery – vanilla, beeswax, exotic fruits (pineapple, mango, papaya, blackberry jam), lemon sherbet, spices (ginger, cinnamon), coconut, sawdust, saunas and later chocolate and cigars. The palate had more of the fruit skins (slight bitterness) with chocolate, bananas, white pepper, peppermint tea and Cadbury’s mini eggs. The reduced nose had ‘tons of vanilla’, foamy bananas, refreshers, pear drops, orange Cremola Foam and Green & Black’s ginger chocolate. The palate delivered milk chews, condensed milk, mango, nutella, walnuts, Jamaica cake, then coconut and tobacco in the finish – a very complex dram from Nikka’s Sendai distillery",":Our second hand-selected dram of the evening at Duck’s Inn took advantage of their SMWS partner bar status and the slightly peculiar time-warp effect they have with the relaxed atmosphere out at Aberlady in East Lothian. Drams like this SMWS 124.3 have long since disappeared from SMWS core venues yet at Duck’s Inn there is a good chance you can find real gems like this still glinting under the bar lights at you! A single cask 13 year old refill sherry cask Miyagikyo – mmm…Colour:Rosy gold (8/20) loose thick legs and numerous dropletsNose:Estery and fruity; mango, pineapple, pear, plum and cherry, fragrant and floral, sugared almonds, cigar boxes, jasmine tea, leather and a tannic spice with cinnamon and cardamom, rich sherry influence, plum sauce, dried fruits and balsamic vinegar add to the spirity burnTaste:Hugely drinkable and hides the ABV well, silky chocolate and spiced fruit cake mix, pickled ginger, vanilla and coconut icing, cherry blossom, plum sauce, banana, pineapple and mango fruits, nutty hazelnut and chestnuts, cigar boxes and tobacco leaf, more tannic leather, tea and jasmineFinish:Medium-short fragrant floral with a depth of oaky spices, dried fruit and chocolate", £13.50/dram at Duck’s Inn (£12.15 SMWS Member’s Price)
