酒名,酒廠,url,年分,產地,酒精度,照片url,內容,評論,價錢
"Heaven Hill 9 Years Old Straight Corn Whiskey Batch 1 (49.5%, TBWC, 1679 Bottles, 2019)", Heaven Hill Distillery,https://thewhiskyphiles.com/2020/06/13/heaven-hill-9-years-old-straight-corn-whiskey-batch-1/, 9 years Old,US, 49.5%,https://thewhiskyphiles.files.wordpress.com/2020/06/heaven-hill-corn-whiskey-that-boutiquey-whisky-company-whiskey.jpg,"Straight corn whiskey from the phenomenal Heaven Hill distillery, matured for 9 years before falling into the hands of That Boutique-y Whisky Company! This one features a label similar to that of the Boutique-y bottling of Heaven Hill bourbon, with with a particularly a-maize-ing addition (I am so sorry) of lots of corn!Batch 1 is a release of 1,679 bottles.Official tasting notes:Nose: Buttered corn, maple syrup and milk chocolate form the core. Vanilla ice cream and foam bananas add to the sweetness. A little drying oak spice is there underneath.Palate: Prickly black peppercorn rushes through a mix of cooking apples, sponge cake and honeyed fruit. Vanilla pod earthiness and a juicy blackcurrant complete the palate.Finish: Crisp red apples and a little dark chocolate bitterness linger.Overall: Enjoyable and intriguing in equal measure.","Another Heaven Hill distillery offering bottled by Boutique-Y whisky. This time distilled as straight Corn whisky and again matured for 9 years.My tasting notes:Appearance: Bright amber gold (10/20), slow, medium-fine tears and long, medium legs.Nose: Sweet, polished, popcorn, floral and spirity, apple juice, tablet & vanilla fudge, american cream soda and vanilla ice cream.Taste: Thick and syrupy on the palate, richer than the nose, golden syrup, quite buttery and oily, thins to a spirity sharpness, vanilla custard and a hint of metallic zinc.Finish: Long, vaporous, sparkling, brass pennies, sweet tablet and vanilla fudge.", £44.95
"FEW Bourbon Whiskey Batch#1 (48.4%, That Boutique-Y Whisky Company, 67 Bottles, 2014)", FEW distillery,https://thewhiskyphiles.com/2020/06/09/few-bourbon-whiskey-batch1/, null,US, 48.4%,https://thewhiskyphiles.files.wordpress.com/2015/08/fewbatch1tbwc.jpg,"A wheated FEW Spirits bourbon whiskey bottling from That Boutique-y Whisky Company presented at 48.4% abv! On the label you’ll find Maverick Drinks’ Michael Vachon, who first brought FEW Spirits to the UK, waving a chequered flag as prohibition is finally repealed in Evanston, Illinois.Paul Hletko in the background hardly needed any extra encouragement, and is busy creating delicious craft spirits from grain to glass at his Evanston distillery, located in the former heartland of the temperance movement! In fact, the bags full of barley, wheat and corn refer to the mashbill of the bourbon in the bottles. Clever, eh?Just 67 bottles were produced.Official tasting notes:Nose: Clean corn and malt is recognisable from FEW Spirits’ White Dog, but this soon proves to be far richer and rounder, with sweetness developing in the form of pleasant pine resin and honeyed nuts being roasted by street vendors.Palate: Classic FEW corn with that smooth malted edge. Pie-crust wheatiness (as opposed to butteriness), almonds and peppery cherries.Finish: Sweet buns and some salivating ganache.Overall: We’ve always liked to have a FEW, or even a good FEW, which this certainly is!","Another rediscovered note, I originally sampled this back in 2014. Distilled at FEW distillery and bottled by That Boutique-Y Whisky Company, carrying no age-statement but labelled as Whiskey so I can only guess that it is over 4 years old otherwise legally it should be labelled as Straight Bourbon or carry an age-statement. I do remember around this time FEW releases switched from using the term Whiskey to Spirit and the age of their output remains clear as mud?My tasting notes:Appearance:  Old Sauternes (8/20), medium-fine tears and legs.Nose: Latex rubber, sultanas, figs, oat bran, bubblegum, pine needles, sap and wood, pine cones, cinnamon, orange, Christmas spices, struck matches.Taste: Thin/light bodied, more cinnamon bubblegum, cinnamon sticks, struck match/cordite, cowhide, waxy coloured pencil shavings, resinous, new wood.Finish: Medium, clementine fruit and zest, woody with warming spices.", £51.95
"Heaven Hill 9 Years Old American Whiskey Batch 1 (48.4%, TBWC, 1177 Bottles, 2018)", Heaven Hill Distillery,https://thewhiskyphiles.com/2020/05/11/heaven-hill-9-years-old-american-whiskey/, 9 years Old,US, 48.4%,https://thewhiskyphiles.files.wordpress.com/2020/05/heaven-hill-american-whiskey-that-boutiquey-whisky-company-whisky.jpg,"An American whiskey from the ace Heaven Hill distillery in Kentucky, independently bottled by those fine That Boutique-y Whisky Company folks. As this falls into the somewhat broad “American whiskey” category, the label from Heaven Hill Batch 1 has been amended to include a selection of American things, like jeans, various hats, hot dogs, jackets with letters on them, eagle feet and more.Batch 1 is a release of 1,177 bottles.Official tasting notes:Nose: Buttery malt, cashew, oak and freshly zested citrus. A good layer of caramel covers it all.Palate: Still quite buttery, though baking spices (think nutmeg and ginger) liven it up. Sultana, marmalade and brown bread.Finish: Toffee, milk chocolate and a touch of cut gras","Distilled at Heaven Hill distillery in the US and bottled by TBWC. Heaven Hill produces Bourbon brands such as Evan Williams and Elijah Craig.This post was sponsored by That Boutique-Y Whisky Company by provision of a sample.My tasting notes:Appearance: Full gold (10/20), medium-fine tears and long, fine legs.Nose: Sweet, polished oak, sweetcorn, popcorn, vanilla, toasty oak and maple syrup.Taste: Sharp and spirity, quite spiced, cinnamon, ginger, softens into buttered corn, more cereal, wheat and or rye, polished oak, apple and blackcurrant cordial.Finish: Medium, fruity with polished oak wood.", £44.95
"Woodford Reserve Master’s Collection 2014 Sonoma-Cutrer Finish (45.2%, OB, 36334 Bottles, 2014)", Woodford Reserve distillery,https://thewhiskyphiles.com/2019/12/09/woodford-reserve-masters-collection-2014-sonoma-cutrer-finish/, null,US, 45.2%,https://thewhiskyphiles.files.wordpress.com/2016/04/woodford-reserve-masters-collection-sonoma-cutrer-finish-whisky.jpg,"The Woodford Reserve Master’s Collection Sonoma-Cutrer Pinot Noir Finish is the latest in product innovation from Woodford Reserve, and marks the ninth release in the series. The Sonoma-Cutrer Pinot Noir Finish was produced by taking a batch of mature Woodford Reserve and finishing the spirit in Pinot Noir barrels freshly emptied and shipped from California’s famed Sonoma-Cutrer Winery. Take a look at our Master Distiller’s explanation behind his inspiration for Sonoma-Cutrer Pinot Noir Finish.Official tasting notes:APPEARANCE Rich, deep garnet.NOSE Bursting with rich red fruit and berry character overlaying a complex sprinkling of spice (cinnamon, clove), oak and dark caramel.TASTE Warm and fruit forward with notes of cherry, raspberry, blackberry followed by a crisp spiciness and subtle oak sweetness.FINISH Long and warm with lingering fruit and earthy oak character.","This Masters Edition takes Woodford Reserve Cask Strength Bourbon typically around 7 years old and matured it for a further 10 months in Sonoma-Cutrer ex french oak Pinot Noir casks – making it instantly not a bourbon as bourbon can only be matured in virgin oak casks! Sadly this means generally there is a lot less cask-finished Bourbon whiskies around to sample when compared to Scotch single malt for example. Thankfully The folks at Brown Forman / Woodford Reserve cared very little for the fact this wasn’t a classic bourbon and used the freedom of their Masters Edition range to try this out.My tasting notes:Appearance: Deep red gold with ruby highlights (14/20), medium-fine tears and thin legs.Nose: Sweet, maple syrup, strawberry marshmallow, plum sauce, spiced, star anise, cinnamon, chocolate-dipped strawberries, hints of biro ink, brown sugar, leather and vanilla.Taste: Oily and sugary, maple syrup, brown sugar, woody sugars, pencil shavings, biro ink, floral rose, fruity blackcurrant and bramble, raspberry, red apples, polished wood, chocolate, vanilla pods.Finish: Long, cinnamon spiced red apple pie, polished and resinous oak wood.", £119.90 available from Master of Malt
"New York Distilling Company 2 Year Old Rye Batch 3 (47.7%, That Boutique-Y Whisky Company, 461 Bottles, 2019)", New York Distilling Company,https://thewhiskyphiles.com/2019/12/03/nnew-york-distilling-company-2-year-old-rye-batch-3-that-boutique-y-whisky-compan/, 2 Years Old,US, 47.7%,https://thewhiskyphiles.files.wordpress.com/2019/12/new-york-distilling-company-that-boutiquey-rye-company-spirit.jpg,"The earliest distilleries in Brooklyn date back to the 1700’s  but it wasn’t until 2011 that Brooklyn Brewery co-founder Tom Potter and cocktail and spirits expert Allen Katz got together and founded The New York Distilling Company.Rye whiskey was the prevalent spirit of the NE States but largely disappeared after prohibition. The New York Distilling Company are part of its revival. Their rye is selected and grown exclusively by Pedersen Family Farm in the Fingerlakes Region of Upstate New York – a good 5 hour drive from Brooklyn.It’s the third bottling of rye from New York Distilling Company bottled by That Boutique-y Rye Company. Allen Katz is still on the label, but gone is the apple-shaped cask of the previous batches – in its place is a big ol’ beer bottle. There also seems to be some sort of super secret secret agent aiming a slingshot right at Allen! What could all this mean?!Official tasting notes:Nose: Chocolate-covered raisins, orange peel and and caramel drizzle. Fresh red cherries, new leather and toasted rye bread develop underneath.Palate: Raspberry ice cream, sticky toffee and root beer initially, with chocolate orange, drying nutmeg and a delicate floral note in support.Finish: Vanilla pod earthiness and red apples.Overall: A powerful, punchy young dram in the classic rye style.","Door #3 in That Boutique-Y Whisky Company’s 2019 Advent Calendar is this 2 year old Rye spirit, distilled at New York Distilling Company and possibly matured inThis post was sponsored by That Boutique-Y Whisky Company by provision of their 2019 Advent Calendar.My tasting notes:Appearance: Dark amber gold (11/20), quick, medium tears and legs.Nose: Spiced and sweet, leathery and a touch fermented, yeasty beer and rye or sweetened sourdough bread, cinnamon donuts, orange and ginger marmalade with maraschino cherries.Taste: Light-bodied but lasting, sticky fruits, red berries and cherries, a little dark chocolate coating to them but once that melts away a rich black pepper and nutmeg spice is revealed, a little chilli oil heat also.Finish: Long, dry and spiced but with toasted oak wood and dark chocolate and chilli flakes.", £37.95 available from Master of Malt
"Bourbon Whiskey #1 24 Years Old (48%, That Boutique-Y Whisky Company, 8376 Bottles, 2018)", undisclosed distillery,https://thewhiskyphiles.com/2019/12/02/bourbon-whiskey-1-24-years-old-that-boutique-y-whisky-company/, 24 Years Old,US, 48%,https://thewhiskyphiles.files.wordpress.com/2019/12/bourbonwhiskey-batch1-24yearoldthatboutique-ywhiskycompany.jpg,"Style: BourbonLatest Batch: 1Released: December 2018Latest Batch Age: 24Latest Batch Size: 8376 bottlesLatest Batch ABV: 48%RRP: £199.95Now, now go about your business please – there’s nothing to see here. Don’t you know you’re in a restricted area? No unauthorised personnel allowed.Official tasting notes:Nose: High notes of dried peel and vanilla, flaming Christmas pudding gives way to pear drops and a light dusting of cocoa powderTaste: Insistent, buttery mouthfeel carrying a lorry load of vanilla, caramel and beurre noisetteFinish: Punchy, warm finish with great balance of the flavours","Door #1 in That Boutique-Y Whisky Company’s 2019 Advent Calendar is this 24 year old Bourbon Whiskey from an undisclosed distillery!This post was sponsored by That Boutique-Y Whisky Company by provision of their 2019 Advent Calendar.My tasting notes:Appearance: Luscious dark gold (14/20), rare, large droplet tears leave medium-fine legs.Nose: Sweet woody polish, brandy soaked Christmas pudding, caramel and butterscotch toffee, vanilla latte and mocha coffee’s, buttery Werthers original caramels covered in chocolate.Taste: Spun sugar and vanilla, some woody spices, vanilla, nutmeg and a touch of clove and orange oils, caramel, dark chocolate orange, maple syrup with black pepper.Finish: Medium-long, a burst of powdered baking spices subsides into orange and berry jam, charred oak wood and aniseed.", £199.95 available from Master of Malt
"Balcones 3 Years Old Batch #2 (51.2%, That Boutique-Y Whisky Company, 212 Bottles, 2019)", Balcones Distillery,https://thewhiskyphiles.com/2019/11/14/balcones-3-years-old-batch-2/, 3 Years Old,US, 51.2%,https://thewhiskyphiles.files.wordpress.com/2019/11/balcones-3-year-old-that-boutiquey-whisky-company-whisky.jpg,"This right here is batch two of That Boutique-y Whisky Company’s Balcones single malt whisky, aged for three years before bottling! After it was distilled at Balcones in Texas, it was Tequila-cask-matured, so it’s full of all those lovely green vegetal notes. It looks like the Hell ‘n’ Back tour is still going, only this time The Brimstone Cowboys have a new spectator! He’s tending his agave plant while enjoying the fiery music, as you do.Official tasting notes:Nose: Perfectly balanced sweet and savoury notes, with vegetal and somewhat funky agave in the foreground, loads of smoked, dried herbs and a pinch of salt, with fresh berries and caramel in support.Taste: Almost oily mouthfeel, much more savoury than the nose may suggest with freshly cut grass and heaps of vegetal agave, with a burst of sharp lemon juice and a subtle suggestion of dried sour cherries.Finish: Heavy pepper spice on the finish, followed by more grassy notes fading into sweeter tones of tinned pineapple, with a lingering smokiness.","An Independent bottling from Balcones, a US distillery I haven’t sampled in a while. I remember being hugely impressed with much of their early stuff and so was eager to see what TBWC had discovered in this one.This is traditional pot still distilled single malt whisky that has been matured in ex Tequila casks.My tasting notes:Appearance: Dark mahogany brown (17/20) rare, medium-fine tears and thin legs.Nose: Sweet and herbal, corn syrup, vanilla, toffee, bourbon, treacle, maple syrup, toffee-covered popcorn, new pencil case and new paint.Taste: Treacle, refined, corn syrup, vanilla, bourbon biscuits, molasses, ripe cherry fruit, plum, slight chipotle chilli heat, dry and leathery.Finish: Long, sweet, smooth, vanilla toffee.", £69.95 from Master of Malt
"FEW Single Malt Whisky (46.5%, OB, 2018)", FEW Distillery,https://thewhiskyphiles.com/2019/03/13/few-single-malt/, null,US, 46.5%,https://thewhiskyphiles.files.wordpress.com/2019/03/few-single-malt-whisky.jpg,"Scotch? This isn’t it. But when you are ready for a downright delicious American whisky, made in the style of the Scots? Here you go.Kissed with cherry wood smoke, Few Single Malt Whisky is the perfect addition to your after dinner enjoyment, but only in moderation.","Thanks to FEW spirits for the sample of this US Single Malt Whisky (Whiskey?) part of the broad portfolio of spirits from Evanston’s FEW distillery.My tasting notes:Appearance: Amber gold (10/20) quick, large droplet tears leave medium legs.Nose: Honey and sugary toffee or fudge, cinnamon spiced apple punch, vanilla, dry spices, coffee granules or milk chocolate/cocoa powder.Taste: Smooth and creamy, mid-light bodied, cereal malted barley, honey, some herbal thyme, apple, spirity and spicy, popcorn, cornflakes, cinnamon and nutmeg.Finish: Medium, spiced honey and apple-coated popcorn", £54.95
"FEW Bourbon (46.5%, OB, 2018)", FEW Distillery,https://thewhiskyphiles.com/2019/03/13/few-bourbon-46-5-ob-2018/, null,US, 46.5%,https://thewhiskyphiles.files.wordpress.com/2019/03/few-bourbon.jpg,"This spirit, distilled through timeless liquor-making techniques, utilizes a three-grain recipe that infuses generations of Southern tradition with the spiciness of northern rye and a touch of malt for smoothness. FEW is hand-crafted through a small-batch process in charred oak barrels to age its bourbon whiskey.","Thanks to FEW spirits for the sample of this “Bourbon” produced similar to Bourbon whiskey but due to possible age of marrying components is unable to carry the name whiskey and so is referred to as Bourbon Spirit drink?My tasting notes:Appearance: Golden bronze (12/20) numerous, medium-tapered tears and medium-fine legs.Nose: Vanilla, new oak wood, furniture polish, sweet, bubblegum, popcorn, brown sugar, maize, play-dough, caramel and toffee.Taste: Spiced toffee, sweet, cereal grains, clove oil, popcorn, bubblegum, quite herbal and spicy with drying new oak wood.Finish: Long, clove-spiced honey and vanilla.", £51.90
"Balcones Texas single malt “1” Classic Edition (53%, OB, 2018)", Balcones distillery,https://thewhiskyphiles.com/2018/07/31/balcones-texas-single-malt-1-classic-edition-53-ob-2018/,null,US, 53%,https://thewhiskyphiles.files.wordpress.com/2018/07/balcones-texas-single-malt-whisky.jpg,"Balcones Texas single maltA timeless style of malt whisky, Balcones “1” Texas Single Malt breathes new life into centuries of distilling tradition with classic techniques and ingredients adapted for New World tastes.Opening aromas bear hints of toffee and overripe fruits. On the palate, layers of toasted malt and honey give way to mellow notes of baked pears and apples.A long finish is accompanied by cinnamon and cloves. Texas made, Texas proud, we hope you enjoy the whisky we owe our success to as much as we enjoy making it.Official tasting notes:Nose – ripe, buttered stone fruit, banana and pears; honey and rose water with delicate citrus accentsTaste – silky and full on the palate; lightly toasted bread with fresh butter and marmaladeFinish – long finish with lingering toast and burnt sugar notes morphing into rich malt and wood flavors with counterbalancing acidity","Sampled during the the #DrinkCraft 4th of July Tweet TastingDistilled from malted barley at the Balcones distillery and ‘yard’ aged in  ex-Bourbon American oak casks to create the eponymous Texas single malt whisky.My tasting notes:Appearance: Ruby bronze (13/20), numerous fine/beaded tears leave occasional fine legs.Nose: Caramel and toffee butter popcorn, fairground food stalls (without the diesel generator smell), fried cornbread, there are some lighter notes behind the spirit too, fresh apple and pearTaste: Sweet and rounded, integrated butter caramel, perfect balance of sugar, salt and butteriness – like a well-buttered scone, dash of fresh lemon and lime juice and some light woody spices and fruit tea tannins.Finish: Dry spicy, hot, cinnamon, pepper, a little of the sweetness but eventually spices burn it off", £84.80
