酒名,酒廠,url,年分,產地,酒精度,照片url,內容,評論,價錢
"Writers Tears Cask Strength 2018 Edition (53%, OB, 5175 Bottles, 2018)", n/a,https://thewhiskyphiles.com/2020/08/11/writers-tears-cask-strength-2018-edition-56-3-ob-5175-bottles-2018/, null,Ireland, 53%,https://thewhiskyphiles.files.wordpress.com/2020/08/writers-tears-cask-strength-2018-release-whisky.jpg,"Another annual release of the fabulous Writers Tears Irish whiskey! This 2018 edition was released at cask strength, 53% ABV, with only 5,175 bottles. The packaging shows a development of the design introduced for the 2017 edition, an artistic version of the whiskey distilling process.Official tasting notes:Nose: A complex nose of toasted cereal, almond oils, creamy chocolate and sweet floral notes.Palate: Wild honey, summer fruits and fresh ginger all underpinned by a spicy single pot still base.Finish: A delicate, warm and lingering finish.","A Cask strength edition of Walsh Whiskey’s Writers Tears blended Irish Whiskey. Bottled at 56.3% ABV.My tasting notes:Appearance: Full gold (11/20), medium tears and medium legs.Nose: Soft apple and pear fruits, honey, vanilla, nutty almond and hazelnut, floral blossom, woody oak and milk chocolate.Taste: Sweet, honeyed & gentle cereals, malted milk biscuits, orchard fruits; apple, pear, also some blackcurrant and raspberry woodland berries, soft-spiced gingerbread biscuits, rye bread and orange peel.Finish: Medium, warming, moist/just baked gingerbread biscuits prevail.", £105.99
"Heaven Hill 10 Years Old 2009 (62.5%, The Single Cask, Virgin Barrel #152724, 130 Bottles, 2019)", Heaven Hill distillery,https://thewhiskyphiles.com/2020/07/12/heaven-hill-10-years-old-2009-62-5-the-single-cask-virgin-barrel-152724-130-bottles-2019/, 10 Years Old,America, 62.5%,https://thewhiskyphiles.files.wordpress.com/2020/07/heaven_hill_10_year_old_kentucky_bourbon_whiskey_800x.jpg,"After prohibition was repealed with the 21st Amendment, there were only a few whiskey distillers in America who re-started their operations. The Shapria brothers spotted an opportunity and bought a plot of land in Kentucky, bourbon’s heartland. The business grew to have the largest roster of whisky brands in America. This cask comes from one of their sprawling warehouse and we think it’s an example just how great American whiskey can be.Official tasting notes:Nose: Rich apricots, vanilla and black pepper with undertones of orange, dark chocolate and malt.Palate: Bananas dipped in dark chocolate and topped with caramel, almonds and vanilla.Finish: Long and malty with echoes of banana, caramel, coffee and dark chocolates.","A 10 year old single cask from Heaven Hill distillery. I have a suspicion I have sampled this previously at one of the various whisky festivals and was also struck at the time by the same findings below.This post was sponsored by The Single Cask by provision of a sample of this product.My tasting notes:Appearance: Bright amber gold (9/20), medium-fine tears and tapered legs.Nose: Corn syrup, polish, solventy and sweet, cooked cereal mash, vanilla, green banana, toffee oak wood, milk chocolate, caramel almost maple syrup and a hint of undefined fruit.Taste: Medium-bodied, touch oily and spirity, caramel, green & fried banana, black pepper, ginger & chilli spice, with water softer caramel.Finish: Long, drying, touch of leather & dark chocolate.", £75 available from The Single Cask
"The Whiskymaker’s Reserve No.3 (54%, OB, 9700 Bottles, 2020)", The Lakes Distillery,https://thewhiskyphiles.com/2020/07/12/the-whiskymakers-reserve-no-3/, null,England, 54%,https://thewhiskyphiles.files.wordpress.com/2020/07/the-lakes-whiskymakers-reserve-no3-whisky.jpg,"The Whiskymaker’s Reserve No.3 is an aromatic expression, matured in the finest, meticulously sourced PX, Oloroso, Cream Sherry and red wine casks, bottled at 54% ABV.The nose is rich and fragrant with incense, spiced chocolate and toffee; layers of honey, figs and wood spice on the palate create a long, warming finish.The Whiskymaker’s Reserve is an artistic exploration of oak and blending; of flavour evolution and defining a house style. Creating a new whisky requires a framework of sorts, but there has to be room within it to play, to follow gut feeling and instinct. The architecture of each release of Whiskymaker’s Reserve will evolve in keeping with both our increasing sherry cask influence and our sense of adventure.Official tasting notes:Nose: AROMATIC INCENSE, SPICED CHOCOLATE AND TOFFEEPalate: HONEY, FIGS AND WOOD SPICEFinish: LONG, WARMING AND LINGERING.","The third instalment of The Lakes Distillery Whiskymaker’s Reserve collection from their whiskymaker Dhavall Gandhi.This post was sponsored by The Lakes Distillery by provision of a sample of this product.My tasting notes:Appearance: Orange amber gold (11/20), fine tears and beaded legs.Nose: Heady and fruity, fruit punch, sherry, leather, fig, peach, apricot, plum, boozy Christmas cake, orange zest, winey grapes, hint of milk chocolate, orange & cherry sherbet dib-dab, a little toffee and coffee.Taste: Fruity, zesty orange, sharp and citric, some cinnamon spice and spirit builds, medium-light bodied, flavour persists but doesn’t change much on the palate, with a drop of water it is more palatable creamier and smoother and mellow.Finish: Short, fruity, creamy, syrupy then drying.", £63.95 available from Master of Malt
"The Milk & Honey The Whisky Show London 2019 (55%, OB, Ex-Bourbon + PX Sherry Butt Finish, 100 Bottles, 2019)", The Milk & Honey distillery,https://thewhiskyphiles.com/2020/06/23/the-milk-honey-the-whisky-show-london-2019-55-ob-ex-bourbon-px-sherry-butt-finish-100-bottles-2019/, null,Israel, 55%,https://thewhiskyphiles.files.wordpress.com/2020/06/israel_mil6.jpg,"The Milk & Honey Distillery, has today announced that it will be showcasing a new special limited-edition expression at this year’s Whisky Show in London, ahead of a general release in 2020.Milk & Honey – The Whisky Show London 2019 Exclusive Edition (55% ABV) is a single cask, single malt whisky, which was matured in an ex-bourbon cask, before being finished in a kosher PX sherry butt.Limited to just 100 bottles, this latest release from Israel’s first whisky distillery, is said to deliver notes of sherry, red fruits, light wood and vanilla on the nose. Followed by notes of chocolate, oak and light tobacco on the palate.Commenting on the news, Eitan Attir, CEO of The Milk & Honey Distillery, said: “It is an extremely proud period for The Milk & Honey Distillery to finally be able to share our single malt whisky with the world”.Milk & Honey – The Whisky Show London 2019 Exclusive Edition, will be available exclusively at this year’s Whisky Show, from between September 28th – 29th (RRP tbc). This will be followed by a general release bottling in January 2020.","The Milk & Honey distillery was established in 2014 in Tel Aviv, Israel, making it the first(?) single malt whisky distillery in Israel. This bottling was produced exclusively to celebrate the London Whisky Show 2019 and was a 100 bottles run from an ex-Bourbon and PX sherry butt finished whisky.This post was sponsored by The Milk & Honey Distillery by provision of a sample of this product.My tasting notes:Appearance: Dark bronze gold (13/20), oily, medium-large tears and legsNose: Dusty and smoky, dry, tobacco, herbal, malty, herbal schnapps, cheroot cigars/chewing tobacco, vanilla, woody oak, cherries, marzipan.Taste: Full-bodied, butterscotch, peanut oil, chilli flake spice, malt, woody with wood shavings, touch of cask char, some rich fruit cake and raisins.Finish: Long, sweet, vanilla, woody, cheroot", £sold out
"Heaven Hill 9 Years Old Straight Corn Whiskey Batch 1 (49.5%, TBWC, 1679 Bottles, 2019)", Heaven Hill Distillery,https://thewhiskyphiles.com/2020/06/13/heaven-hill-9-years-old-straight-corn-whiskey-batch-1/, 9 years Old,America, 49.5%,https://thewhiskyphiles.files.wordpress.com/2020/06/heaven-hill-corn-whiskey-that-boutiquey-whisky-company-whiskey.jpg,"Straight corn whiskey from the phenomenal Heaven Hill distillery, matured for 9 years before falling into the hands of That Boutique-y Whisky Company! This one features a label similar to that of the Boutique-y bottling of Heaven Hill bourbon, with with a particularly a-maize-ing addition (I am so sorry) of lots of corn!Batch 1 is a release of 1,679 bottles.Official tasting notes:Nose: Buttered corn, maple syrup and milk chocolate form the core. Vanilla ice cream and foam bananas add to the sweetness. A little drying oak spice is there underneath.Palate: Prickly black peppercorn rushes through a mix of cooking apples, sponge cake and honeyed fruit. Vanilla pod earthiness and a juicy blackcurrant complete the palate.Finish: Crisp red apples and a little dark chocolate bitterness linger.Overall: Enjoyable and intriguing in equal measure.","Another Heaven Hill distillery offering bottled by Boutique-Y whisky. This time distilled as straight Corn whisky and again matured for 9 years.My tasting notes:Appearance: Bright amber gold (10/20), slow, medium-fine tears and long, medium legs.Nose: Sweet, polished, popcorn, floral and spirity, apple juice, tablet & vanilla fudge, american cream soda and vanilla ice cream.Taste: Thick and syrupy on the palate, richer than the nose, golden syrup, quite buttery and oily, thins to a spirity sharpness, vanilla custard and a hint of metallic zinc.Finish: Long, vaporous, sparkling, brass pennies, sweet tablet and vanilla fudge.", £44.95
"FEW Bourbon Whiskey Batch#1 (48.4%, That Boutique-Y Whisky Company, 67 Bottles, 2014)", FEW distillery,https://thewhiskyphiles.com/2020/06/09/few-bourbon-whiskey-batch1/, null,America, 48.4%,https://thewhiskyphiles.files.wordpress.com/2015/08/fewbatch1tbwc.jpg,"A wheated FEW Spirits bourbon whiskey bottling from That Boutique-y Whisky Company presented at 48.4% abv! On the label you’ll find Maverick Drinks’ Michael Vachon, who first brought FEW Spirits to the UK, waving a chequered flag as prohibition is finally repealed in Evanston, Illinois.Paul Hletko in the background hardly needed any extra encouragement, and is busy creating delicious craft spirits from grain to glass at his Evanston distillery, located in the former heartland of the temperance movement! In fact, the bags full of barley, wheat and corn refer to the mashbill of the bourbon in the bottles. Clever, eh?Just 67 bottles were produced.Official tasting notes:Nose: Clean corn and malt is recognisable from FEW Spirits’ White Dog, but this soon proves to be far richer and rounder, with sweetness developing in the form of pleasant pine resin and honeyed nuts being roasted by street vendors.Palate: Classic FEW corn with that smooth malted edge. Pie-crust wheatiness (as opposed to butteriness), almonds and peppery cherries.Finish: Sweet buns and some salivating ganache.Overall: We’ve always liked to have a FEW, or even a good FEW, which this certainly is!","Another rediscovered note, I originally sampled this back in 2014. Distilled at FEW distillery and bottled by That Boutique-Y Whisky Company, carrying no age-statement but labelled as Whiskey so I can only guess that it is over 4 years old otherwise legally it should be labelled as Straight Bourbon or carry an age-statement. I do remember around this time FEW releases switched from using the term Whiskey to Spirit and the age of their output remains clear as mud?My tasting notes:Appearance:  Old Sauternes (8/20), medium-fine tears and legs.Nose: Latex rubber, sultanas, figs, oat bran, bubblegum, pine needles, sap and wood, pine cones, cinnamon, orange, Christmas spices, struck matches.Taste: Thin/light bodied, more cinnamon bubblegum, cinnamon sticks, struck match/cordite, cowhide, waxy coloured pencil shavings, resinous, new wood.Finish: Medium, clementine fruit and zest, woody with warming spices.", £51.95
"The English 11 Years Old (OB, 46%, 2020)", St George’s distillery,https://thewhiskyphiles.com/2020/06/08/the-english-11-years-old/, 11 Years Old,England, 46%,https://thewhiskyphiles.files.wordpress.com/2020/06/the-english-11-yr-old-bottle-and-box.png?w=1200,"As the founders of English whisky in this country, The English Whisky Co. is proud to be the first to bring you this milestone whisky.“It has been a very long wait, but after a decade and a half we are finally in a position to release and English Single Malt Whisky bearing an age statement,” explains Managing Director, Andrew Nelstrop. “The English – 11yr is a fantastic example of the the work that is being done in our cask warehouses, ensuring a generational supply of English Single Malt Whisky.”Savour and enjoy.Official tasting notes:Sweet and spicy; dry and woody with lovely oak overtones. The fruits come across with the cherries, apples and tropical fruits dominating. A nicely balanced peppery and spicy tingle on the tongue, with a rich, oily and slightly dry finish.","The first officially bottled (OB) age statement from St George’s Distillery for their standard range of The English whisky is this 11 Year Old expression releases 4th June 2020. Building on their ex-Bourbon matured Original expression, which carries no age statement but (unofficially) is made up of whisky aged for around 5-6 years. This 11 year old is built on a similar base/profile but aged twice as long. Their is a possibility than 1.10th of the casks used may have contained some peated whisky as used in their Smokey expression.Thanks to Sorren (@OCDwhisky) and the @WhiskyCircus for the chance to sample this and the other core expressions again.This post was sponsored by The English Whisky Company by provision of a sample of this product.My tasting notes:Appearance:  Refractive yellow/Sauternes gold (7/20), medium tears and medium legs.Nose: Floral and estery with ripe fruits such as pear and banana, foam banana sweeties, vanilla cream and custard.Taste: Creamy and sweet, quite thick on the palate, fruity, rhubarb and custard sweeties, citrus zest, lemon and yellow grapefruit, tinned pineapple rings in syrup, apple pie with cinnamon and a touch of white pepper builds to cayenne pepper a touch vaporous and mentholic.Finish: Long, dry, white oak wood and hay, before mouth-watering fruits return, like dried mango.", £59.95
"Teeling 24 Years Old Vintage Reserve Collection (46%, OB, 5000 Bottles, 2016)", Teeling distillery,https://thewhiskyphiles.com/2020/05/20/teeling-24-years-old-vintage-reserve-collection/, 24 Years Old,Ireland, 46%,https://thewhiskyphiles.files.wordpress.com/2016/11/teeling-24-year-old-vintage-reserve-collection-whiskey.jpg,"The Teeling Whiskey Company is proud to introduce this special release of some of the oldest Irish Single Malt in the world. Matured initially in Bourbon casks before being given an additional maturation in ex-Sauternes wine barrels, imparting a distinctly unique flavour. Limited to 5,000 bottles per batch and bottled at 46% with no chill filtration completing a whiskey of true character. Awarded World’s Best Single Malt, 2019 at the World Whiskies Awards, this is a whiskey to savour.Official tasting notes:Nose: Aromas of white grapes, cut grass, apricots and white chocolate.Taste: Silky smooth, with flavours of fig jam, honey, apricots, white chocolate and crisp saltiness at the end to balance the sweetness off.Finish: Long and mellow.","Distilled at Teeling Distillery and matured in ex-Bourbon casks before finishing in Ex-Sauternes casks. Bottled at 24 years old and 46% in 206, producing a limited run of 5000 bottles this was one of the oldest irish single malt whiskeys at the time it was bottled.My tasting notes:Appearance: Rosy gold (11/20), quick, large tears and thick legs.Nose: Sweet roasted chestnuts, sugared almonds, slightly fruity, botrytis, dunnage warehouse, lemon & lime foam, white grapes, bubblegum, apple puree and orange zest.Taste: White and red grapes, cranberry and strawberry, pineapple fritters in syrup, barley sugars, herbal thyme and a touch of black pepper, candied peels, sun-dried leather and a pinch of salt.Finish: More stewed fruits, woody, herbal thyme honey and orange zest/peel.", £395
"Teeling Brabazon Bottling Series 1 (49.5%, OB, 12500 Bottles, 2017)", Teeling distillery,https://thewhiskyphiles.com/2020/05/20/teeling-brabazon-bottling-series-1/, null,Ireland, 49.5%,https://thewhiskyphiles.files.wordpress.com/2017/05/teeling-brabazon-bottling-series-1-whiskey.jpg,"The first release in Teeling’s Brabazon Bottling range, which will explore the impact that fortified wine casks have on the flavour profile of Irish whiskey. This initial bottling features whiskey drawn from six Sherry casks, resulting in big ol’ bundles Sherried deliciousness.Official tasting notes:Nose: Earthy dried fruit and roasted hazelnut, with marmalade, peach, plum and burnt toffee.Palate: A rich Sherry sweetness, red berries, nuttiness and toffee, with a hint of liquorice and clove.Finish: Lingering mixed spice, trail-mix, crisped marshmallow, dry tannins and spice with toasted wood.","Sampled during the Darkness Instagram Live tasting with Kristianne Sherry and Dr Sam Simmons from Master of Malt on 15th April 2020.My tasting notes:Appearance: Full amber gold (10/20), medium-fine tears, slow, tapered to fine legs.Nose: Hazelnut puree, linseed oil/putty, sticky toffee pudding, peanut brittle, cookie dough, raisin, plum, dates,Taste: Lighter on the palate, more hazelnut puree, spun sugar, then dried fruit, quite drying and oaky, cadbury’s caramel, clove and cinnamon spice,Finish: Medium-long, dry a little spicier, more nutmeg and clove returns", £68.89 from Master of Malt
"Teeling Small Batch (46%, OB, 2019)", Teeling distillery,https://thewhiskyphiles.com/2020/05/20/teeling-small-batch/, null,Ireland, 46%,https://thewhiskyphiles.files.wordpress.com/2020/05/teeling-small-batch-whiskey.jpg,"This Whiskey challenges the convention of what an Irish Whiskey can be, with layers of unique flavour influenced by unconventional cask maturation techniques. Hand-selected casks of grain and malt whiskey are initially fully aged in Ex-Bourbon barrels, then married together in Central American Rum casks for up to 12 months for a unique, dried fruit profile. The corn/grain element of the blend brings a distinct sweetness, acting as a canvas for the rich, roasted caramel / toffee character of the malted barley. The grain and malt whiskeys are aged separetely in ex-bourbon barrels, in a ration of roughly 3:1, grain to malt. Vanilla and oak notes are imparted at this stage. Blending in small batches and finishing in Central American rum casks, allow the grain and malt whiskey to marry and take on a subtle dried fruit character.Official tasting notes:An inviting nose where vanilla and spice dance with bright sweet notes of Rum.The palate has a solid Rum influence that creates a unique smooth, sweet and slightly woody marriage that sparkles on the tongue.Exotic fruit notes push through as well, with a sweet spicy finish complimented by lingering woody undertones.","A blend of Teeling’s grain and malt whiskey’s finished in ex-Rum casks and released as Small Batch, this particular bottling was filled 04/2019 and was provided by Teeling in celebration of St Patrick’s Day 2020.My tasting notes:Appearance: Dark gold (11/20), medium-large tears and medium legs.Nose: Sweet and estery, iced pastries, thick vanilla custard, vanilla danish, polished oak wood, woody apple, light toffee and coffee notes almost like creme caramel dessert and sauce.Taste: Medium bodied, quite a polished palate and very refined, sugary but not too sweet with fudge, caramel and toffee, lemon and lime curd, slightly herbal, cardamom, rose, praline.Finish: Creamy vanilla, light brown sugar and light caramel sauce.", £34.95 from Master of Malt 
